Date : 2024-10-08 19:22:49
Directory : d:\OI\Code
Total : 1257 files,  77129 codes, 502343 comments, 23049 blanks, all 602521 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| Comp\23-01-15 蓝桥杯\3                                                        |          1 |         53 |          0 |         10 |         63 |
| Comp\23-01-15 蓝桥杯\4                                                        |          1 |         95 |          0 |         13 |        108 |
| Comp\23-01-15 蓝桥杯\5                                                        |          2 |        121 |          0 |         18 |        139 |
| Comp\23-02-02 sg测试                                                         |          4 |        168 |          0 |         42 |        210 |
| Comp\23-02-04 sg测试                                                         |          3 |        174 |          0 |         32 |        206 |
| Comp\23-04-29 ABC                                                          |          2 |        121 |          2 |         24 |        147 |
| Comp\23-04-29 CF869                                                        |          1 |         51 |          0 |         14 |         65 |
| Comp\23-05-01 LG                                                           |         15 |        701 |          0 |        174 |        875 |
| Comp\23-05-01 LG (Files)                                                   |          5 |        159 |          0 |         44 |        203 |
| Comp\23-05-01 LG\E_Table                                                   |         10 |        542 |          0 |        130 |        672 |
| Comp\23-05-14 蓝桥杯                                                          |          8 |        296 |          4 |         83 |        383 |
| Comp\23-05-14 蓝桥杯 (Files)                                                  |          6 |        262 |          4 |         73 |        339 |
| Comp\23-05-14 蓝桥杯\test                                                     |          2 |         34 |          0 |         10 |         44 |
| Comp\23-05-28 LG                                                           |          1 |         31 |          0 |          7 |         38 |
| Comp\23-05-28 蓝桥杯国赛                                                        |          6 |        266 |          4 |         57 |        327 |
| Comp\23-06-11 夏令营                                                          |          2 |        154 |          1 |         30 |        185 |
| Comp\23-07-07 CF883                                                        |          3 |        196 |          8 |         44 |        248 |
| Comp\23-07-08 LG                                                           |          2 |        105 |          0 |         20 |        125 |
| Comp\23-07-09 ARC                                                          |          1 |         34 |          0 |         10 |         44 |
| Comp\23-07-14 LG                                                           |          7 |        268 |          2 |         71 |        341 |
| Comp\23-07-15 ABC                                                          |          2 |         84 |          0 |         26 |        110 |
| Comp\23-07-21 CF 886                                                       |         10 |        179 |          2 |         82 |        263 |
| Comp\23-07-22 ABC311                                                       |          4 |        187 |          1 |         60 |        248 |
| Comp\23-07-22 LG                                                           |          4 |        276 |          7 |         90 |        373 |
| Comp\23-07-23 ZR                                                           |          6 |        292 |         18 |         92 |        402 |
| Comp\23-07-23 ZR (Files)                                                   |          4 |        231 |         15 |         68 |        314 |
| Comp\23-07-23 ZR\Redo                                                      |          2 |         61 |          3 |         24 |         88 |
| Comp\23-07-25 CF                                                           |          3 |        126 |          2 |         45 |        173 |
| Comp\23-07-28 ZR ACM                                                       |         19 |        720 |         63 |        137 |        920 |
| Comp\23-07-29 ABC312                                                       |          3 |         92 |          7 |         42 |        141 |
| Comp\23-08-02 ZR                                                           |          6 |        303 |          1 |         88 |        392 |
| Comp\23-08-02 ZR (Files)                                                   |          3 |        140 |          0 |         45 |        185 |
| Comp\23-08-02 ZR\PaiA                                                      |          3 |        163 |          1 |         43 |        207 |
| Comp\23-08-04 ZR                                                           |          6 |        235 |          5 |         72 |        312 |
| Comp\23-08-05 ABC313                                                       |          4 |        137 |          1 |         48 |        186 |
| Comp\23-08-08 ZR                                                           |          4 |        139 |          3 |         53 |        195 |
| Comp\23-08-12 ABC314                                                       |          5 |        134 |         17 |         41 |        192 |
| Comp\23-08-13 ZR                                                           |          4 |         97 |          0 |         36 |        133 |
| Comp\23-08-15 ZR 收官之战                                                      |          6 |        259 |          2 |         90 |        351 |
| Comp\23-08-18 SDCPC                                                        |          7 |        209 |          0 |         90 |        299 |
| Comp\23-08-24 CF                                                           |          4 |         93 |          0 |         36 |        129 |
| Comp\23-08-26 ABC317                                                       |          5 |        150 |          0 |         56 |        206 |
| Comp\23-08-27 ZR-NOIP-1                                                    |          6 |        209 |          1 |         75 |        285 |
| Comp\23-09-02 ZR-CSP-1                                                     |          4 |        179 |          5 |         64 |        248 |
| Comp\23-09-03 ZR-NOIP-2                                                    |          6 |        341 |         29 |         91 |        461 |
| Comp\23-09-09 ZR-CSP-2                                                     |          4 |        199 |          1 |         88 |        288 |
| Comp\23-09-10 ZR-NOIP-3                                                    |          2 |        219 |          3 |         92 |        314 |
| Comp\23-09-23 ZR-CSP-4                                                     |          6 |        352 |          1 |        152 |        505 |
| Comp\23-09-23 ZR-CSP-4 (Files)                                             |          4 |        268 |          1 |        116 |        385 |
| Comp\23-09-23 ZR-CSP-4\Redo                                                |          2 |         84 |          0 |         36 |        120 |
| Comp\23-09-28 duel                                                         |          2 |         74 |          7 |         28 |        109 |
| Comp\23-09-29 QBXT-Day1                                                    |          8 |        431 |         16 |        193 |        640 |
| Comp\23-09-29 QBXT-Day1 (Files)                                            |          6 |        280 |          6 |        113 |        399 |
| Comp\23-09-29 QBXT-Day1\Redo                                               |          2 |        151 |         10 |         80 |        241 |
| Comp\23-09-30 QBXT-Day2                                                    |          3 |        271 |          0 |        117 |        388 |
| Comp\23-09-30 QBXT-Day2 (Files)                                            |          2 |        197 |          0 |         87 |        284 |
| Comp\23-09-30 QBXT-Day2\Redo                                               |          1 |         74 |          0 |         30 |        104 |
| Comp\23-10-01 QBXT-Day3                                                    |          4 |        255 |          0 |        105 |        360 |
| Comp\23-10-01 QBXT-Day3 (Files)                                            |          3 |        194 |          0 |         80 |        274 |
| Comp\23-10-01 QBXT-Day3\Redo                                               |          1 |         61 |          0 |         25 |         86 |
| Comp\23-10-02 QBXT-Day4                                                    |          7 |        305 |          1 |        123 |        429 |
| Comp\23-10-02 QBXT-Day4 (Files)                                            |          6 |        268 |          0 |        104 |        372 |
| Comp\23-10-02 QBXT-Day4\Redo                                               |          1 |         37 |          1 |         19 |         57 |
| Comp\23-10-03 QBXT-Day5                                                    |          5 |        284 |          2 |        115 |        401 |
| Comp\23-10-03 QBXT-Day5 (Files)                                            |          4 |        234 |          2 |         93 |        329 |
| Comp\23-10-03 QBXT-Day5\Redo                                               |          1 |         50 |          0 |         22 |         72 |
| Comp\23-10-04 QBXT-Day6                                                    |          3 |        253 |          2 |         79 |        334 |
| Comp\23-10-05 QBXT-Day7                                                    |          4 |        199 |        164 |        102 |        465 |
| Comp\23-10-14 ZR-CSP-7                                                     |          7 |        358 |    500,020 |        142 |    500,520 |
| Comp\23-10-14 ZR-CSP-7 (Files)                                             |          3 |        125 |          5 |         58 |        188 |
| Comp\23-10-14 ZR-CSP-7\C                                                   |          3 |        210 |    500,015 |         73 |    500,298 |
| Comp\23-10-14 ZR-CSP-7\Redo                                                |          1 |         23 |          0 |         11 |         34 |
| Comp\23-10-20 duel                                                         |          4 |         96 |          0 |         44 |        140 |
| Comp\23-10-28 ABC326                                                       |          4 |        110 |          0 |         42 |        152 |
| Comp\23-11-08 QCM                                                          |          1 |         41 |          0 |         17 |         58 |
| Comp\23-11-08 ZR-NOIP-4                                                    |          3 |        171 |         10 |         67 |        248 |
| Comp\23-11-08 ZR-NOIP-5                                                    |          4 |        294 |          6 |        119 |        419 |
| Comp\23-11-09 ZR-CSP-3                                                     |          3 |        451 |          6 |        115 |        572 |
| Comp\23-11-09 ZR-NOIP-6                                                    |          4 |        270 |          6 |        101 |        377 |
| Comp\23-11-10 ZR-NOIP-7                                                    |          3 |        133 |          0 |         59 |        192 |
| Comp\23-11-11 LGR-166                                                      |          1 |         10 |          0 |          6 |         16 |
| Comp\23-11-18 NOIP-2023-VP                                                 |          6 |        328 |          5 |        135 |        468 |
| Comp\24-02-03 Constructor-Open-Comp-2024                                   |          8 |        152 |         14 |         83 |        249 |
| Comp\24-02-06 CF923                                                        |          4 |        126 |          0 |         58 |        184 |
| Comp\24-02-10 ABC340                                                       |          5 |        130 |          1 |         56 |        187 |
| Comp\24-02-15 ZOI-Round-1                                                  |          4 |        125 |          2 |         52 |        179 |
| Comp\24-02-17 ABC341                                                       |          4 |        134 |          1 |         60 |        195 |
| Comp\24-02-18 CF927                                                        |          4 |        161 |          0 |         66 |        227 |
| Comp\24-02-19 LGR-174                                                      |          5 |        263 |          1 |        106 |        370 |
| Comp\24-06-01 MXOI-pre                                                     |         14 |        898 |         34 |        377 |      1,309 |
| Comp\24-06-22 PJudege-J-6                                                  |          4 |        151 |          4 |         46 |        201 |
| Comp\24-06-29 MX-Weekly-S                                                  |         11 |        380 |         24 |        163 |        567 |
| Comp\24-07-05 Beta                                                         |          8 |        297 |          7 |        140 |        444 |
| Comp\24-07-10 MX-13-1                                                      |          6 |        199 |          2 |         84 |        285 |
| Comp\24-07-10 MX-13-1 (Files)                                              |          5 |        155 |          2 |         63 |        220 |
| Comp\24-07-10 MX-13-1\After                                                |          1 |         44 |          0 |         21 |         65 |
| Comp\24-07-11 CF957                                                        |          5 |        114 |          0 |         57 |        171 |
| Comp\24-07-13 LGR193                                                       |          3 |        139 |          0 |         57 |        196 |
| Comp\24-07-14 MX-13-2                                                      |         10 |        512 |         13 |        234 |        759 |
| Comp\24-07-14 MX-13-2 (Files)                                              |          7 |        325 |          3 |        144 |        472 |
| Comp\24-07-14 MX-13-2\After                                                |          3 |        187 |         10 |         90 |        287 |
| Comp\24-07-16 MX                                                           |         10 |        465 |         20 |        154 |        639 |
| Comp\24-07-16 MX (Files)                                                   |          7 |        313 |         18 |        121 |        452 |
| Comp\24-07-16 MX\After                                                     |          3 |        152 |          2 |         33 |        187 |
| Comp\24-07-18 MX                                                           |          7 |        370 |          2 |        148 |        520 |
| Comp\24-07-18 MX (Files)                                                   |          6 |        314 |          2 |        126 |        442 |
| Comp\24-07-18 MX\After                                                     |          1 |         56 |          0 |         22 |         78 |
| Comp\24-07-20 ABC363                                                       |          4 |        110 |          0 |         54 |        164 |
| Comp\24-07-20 CF960                                                        |          4 |        107 |          0 |         56 |        163 |
| Comp\24-07-20 MX                                                           |          5 |        319 |          6 |        136 |        461 |
| Comp\24-07-22 MX                                                           |          9 |      3,073 |         11 |        138 |      3,222 |
| Comp\24-07-22 MX (Files)                                                   |          7 |      3,010 |         11 |        108 |      3,129 |
| Comp\24-07-22 MX\After                                                     |          2 |         63 |          0 |         30 |         93 |
| Comp\24-07-23 MX                                                           |          5 |        256 |          0 |        103 |        359 |
| Comp\24-07-24 MX                                                           |          5 |        248 |          6 |        105 |        359 |
| Comp\24-07-25 MX                                                           |          4 |        113 |          1 |         55 |        169 |
| Comp\24-07-26 MX                                                           |          5 |        319 |          0 |        122 |        441 |
| Comp\24-07-27 ABC364                                                       |          5 |        173 |          0 |         73 |        246 |
| Comp\24-07-27 MX                                                           |          5 |        211 |          0 |         78 |        289 |
| Comp\24-07-28 MX-13-3                                                      |          2 |         52 |          9 |         29 |         90 |
| Comp\24-07-29 MX                                                           |          3 |        190 |          4 |         74 |        268 |
| Comp\24-07-30 MX                                                           |          4 |        139 |          0 |         54 |        193 |
| Comp\24-07-31 MX                                                           |         10 |        305 |         11 |        121 |        437 |
| Comp\24-07-31 MX (Files)                                                   |          7 |        252 |          7 |         93 |        352 |
| Comp\24-07-31 MX\After                                                     |          3 |         53 |          4 |         28 |         85 |
| Comp\24-08-01 MX                                                           |          6 |        385 |          7 |         98 |        490 |
| Comp\24-08-01 MX (Files)                                                   |          4 |        275 |          6 |         57 |        338 |
| Comp\24-08-01 MX\After                                                     |          2 |        110 |          1 |         41 |        152 |
| Comp\24-08-02 MX                                                           |          2 |        163 |         14 |         67 |        244 |
| Comp\24-08-03 ABC365                                                       |          6 |        145 |          0 |         56 |        201 |
| Comp\24-08-03 MX                                                           |          4 |        121 |          0 |         42 |        163 |
| Comp\24-08-04 MX-J-2                                                       |          4 |        136 |          0 |         49 |        185 |
| Comp\24-08-05 MX                                                           |          4 |        238 |          8 |         69 |        315 |
| Comp\24-08-06 MX                                                           |          5 |        137 |          0 |         67 |        204 |
| Comp\24-08-07 MX                                                           |          4 |        218 |          0 |         85 |        303 |
| Comp\24-08-07 MX (Files)                                                   |          3 |        144 |          0 |         58 |        202 |
| Comp\24-08-07 MX\After                                                     |          1 |         74 |          0 |         27 |        101 |
| Comp\24-08-08 MX                                                           |          2 |         89 |          0 |         38 |        127 |
| Comp\24-08-09 MX                                                           |          3 |        143 |          2 |         46 |        191 |
| Comp\24-08-10 ABC                                                          |          2 |         41 |          0 |         16 |         57 |
| Comp\24-08-10 CF1998                                                       |          1 |         20 |          0 |         11 |         31 |
| Comp\24-08-10 MX-X2                                                        |          8 |        208 |          0 |         92 |        300 |
| Comp\24-08-12 MX                                                           |          5 |        122 |          0 |         45 |        167 |
| Comp\24-08-12 MX (Files)                                                   |          4 |        122 |          0 |         44 |        166 |
| Comp\24-08-12 MX\B                                                         |          1 |          0 |          0 |          1 |          1 |
| Comp\24-08-12 test                                                         |          2 |         52 |          0 |         16 |         68 |
| Comp\24-08-13 ABC300-vp                                                    |          7 |        343 |          0 |        122 |        465 |
| Comp\24-08-13 CF996                                                        |          7 |        373 |         16 |        129 |        518 |
| Comp\24-08-17 MX-S3                                                        |          6 |        425 |          5 |        145 |        575 |
| Comp\24-08-18 MX-NOIP-6                                                    |          7 |        519 |          9 |        176 |        704 |
| Comp\24-08-22 ABC362-vp                                                    |          7 |        429 |          7 |        130 |        566 |
| Comp\24-08-24 ABC361-vp                                                    |          7 |        464 |          7 |        139 |        610 |
| Comp\24-08-25 MX-NOIP-7                                                    |          3 |        301 |          4 |         92 |        397 |
| Comp\24-08-31 MX                                                           |          5 |        399 |         37 |        127 |        563 |
| Comp\24-08-31 MX (Files)                                                   |          4 |        313 |         23 |         98 |        434 |
| Comp\24-08-31 MX\After                                                     |          1 |         86 |         14 |         29 |        129 |
| Comp\24-09-07 MX-NOIP-8                                                    |         10 |        741 |         81 |        270 |      1,092 |
| Comp\24-09-07 MX-NOIP-8 (Files)                                            |          9 |        615 |         64 |        227 |        906 |
| Comp\24-09-07 MX-NOIP-8\After                                              |          1 |        126 |         17 |         43 |        186 |
| Comp\24-09-08 MX                                                           |          2 |        169 |         11 |         62 |        242 |
| Comp\24-09-11 MX                                                           |          5 |        448 |         28 |        144 |        620 |
| Comp\24-09-11 MX (Files)                                                   |          2 |        270 |         19 |         81 |        370 |
| Comp\24-09-11 MX\After                                                     |          3 |        178 |          9 |         63 |        250 |
| Comp\24-09-14 MX                                                           |          3 |        268 |         11 |         89 |        368 |
| Comp\24-09-15 ABC371-vp                                                    |          5 |        192 |         15 |         85 |        292 |
| Comp\24-09-15 MX                                                           |          3 |        257 |         46 |         83 |        386 |
| Comp\24-09-16 MX                                                           |          2 |        102 |         11 |         28 |        141 |
| Comp\24-09-18 CF                                                           |          5 |        258 |         39 |         78 |        375 |
| Comp\24-09-18 LCA                                                          |          1 |        133 |         16 |         29 |        178 |
| Comp\24-09-18 MX                                                           |          5 |        368 |         18 |        112 |        498 |
| Comp\24-09-18 MX (Files)                                                   |          2 |        135 |          6 |         47 |        188 |
| Comp\24-09-18 MX\After                                                     |          3 |        233 |         12 |         65 |        310 |
| Comp\24-09-21 CF974                                                        |          6 |        329 |         26 |        135 |        490 |
| Comp\24-09-22 MX                                                           |          6 |        402 |         54 |        146 |        602 |
| Comp\24-09-22 MX (Files)                                                   |          5 |        285 |         42 |        110 |        437 |
| Comp\24-09-22 MX\After                                                     |          1 |        117 |         12 |         36 |        165 |
| Comp\24-09-25 MX                                                           |          6 |        448 |         39 |        162 |        649 |
| Comp\24-09-25 MX (Files)                                                   |          3 |        177 |         12 |         59 |        248 |
| Comp\24-09-25 MX\After                                                     |          3 |        271 |         27 |        103 |        401 |
| Comp\24-09-27 CF2019                                                       |          3 |        136 |         12 |         58 |        206 |
| Comp\24-09-29 CF                                                           |          3 |        167 |         12 |         61 |        240 |
| Comp\24-10-03 MX                                                           |          6 |        386 |         66 |        153 |        605 |
| Comp\24-10-03 MX (Files)                                                   |          5 |        320 |         62 |        125 |        507 |
| Comp\24-10-03 MX\After                                                     |          1 |         66 |          4 |         28 |         98 |
| Comp\24-10-06 CF                                                           |          3 |        179 |         13 |         71 |        263 |
| Debug                                                                      |          5 |        152 |          3 |         37 |        192 |
| HDU                                                                        |          1 |         73 |          2 |         21 |         96 |
| LibreOJ                                                                    |          4 |        291 |          5 |         99 |        395 |
| Luogu                                                                      |        403 |     30,733 |        711 |      9,535 |     40,979 |
| TodoList                                                                   |         15 |      1,456 |         44 |        366 |      1,866 |
| UOJ                                                                        |          3 |        270 |          1 |         91 |        362 |
+----------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                   | language     | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| d:\OI\Code\ACWing\1010.cpp                                                 | C++          |         44 |          0 |         11 |         55 |
| d:\OI\Code\ACWing\1012.cpp                                                 | C++          |         48 |          0 |         11 |         59 |
| d:\OI\Code\ACWing\1014.cpp                                                 | C++          |         52 |          0 |         11 |         63 |
| d:\OI\Code\ACWing\1015.cpp                                                 | C++          |         45 |          0 |          9 |         54 |
| d:\OI\Code\ACWing\1016.cpp                                                 | C++          |         40 |          0 |          5 |         45 |
| d:\OI\Code\ACWing\1017.cpp                                                 | C++          |         59 |          0 |         11 |         70 |
| d:\OI\Code\ACWing\1018.cpp                                                 | C++          |         42 |          0 |          9 |         51 |
| d:\OI\Code\ACWing\1027.cpp                                                 | C++          |         51 |          0 |          7 |         58 |
| d:\OI\Code\ACWing\104.cpp                                                  | C++          |         34 |          0 |         10 |         44 |
| d:\OI\Code\ACWing\143.cpp                                                  | C++          |         74 |          0 |          9 |         83 |
| d:\OI\Code\ACWing\154.cpp                                                  | C++          |         59 |          0 |         11 |         70 |
| d:\OI\Code\ACWing\187.cpp                                                  | C++          |         58 |          0 |         16 |         74 |
| d:\OI\Code\ACWing\2.cpp                                                    | C++          |         35 |          0 |          7 |         42 |
| d:\OI\Code\ACWing\204.cpp                                                  | C++          |         97 |          0 |         18 |        115 |
| d:\OI\Code\ACWing\272.cpp                                                  | C++          |         43 |          0 |          9 |         52 |
| d:\OI\Code\ACWing\275.cpp                                                  | C++          |         52 |          0 |         11 |         63 |
| d:\OI\Code\ACWing\2816.cpp                                                 | C++          |         49 |          0 |          6 |         55 |
| d:\OI\Code\ACWing\3.cpp                                                    | C++          |         34 |          0 |          7 |         41 |
| d:\OI\Code\ACWing\3302.cpp                                                 | C++          |         82 |          0 |         12 |         94 |
| d:\OI\Code\ACWing\4.cpp                                                    | C++          |         51 |          0 |         10 |         61 |
| d:\OI\Code\ACWing\482.cpp                                                  | C++          |         52 |          0 |         10 |         62 |
| d:\OI\Code\ACWing\5.cpp                                                    | C++          |         17 |          0 |          3 |         20 |
| d:\OI\Code\ACWing\786.cpp                                                  | C++          |         34 |          0 |          7 |         41 |
| d:\OI\Code\ACWing\787.cpp                                                  | C++          |         54 |          5 |          9 |         68 |
| d:\OI\Code\ACWing\789.cpp                                                  | C++          |         72 |          0 |          9 |         81 |
| d:\OI\Code\ACWing\790.cpp                                                  | C++          |         37 |          0 |          5 |         42 |
| d:\OI\Code\ACWing\791.cpp                                                  | C++          |         48 |          0 |          8 |         56 |
| d:\OI\Code\ACWing\792.cpp                                                  | C++          |        100 |          0 |         12 |        112 |
| d:\OI\Code\ACWing\793.cpp                                                  | C++          |         50 |          0 |          9 |         59 |
| d:\OI\Code\ACWing\794.cpp                                                  | C++          |         54 |          0 |          9 |         63 |
| d:\OI\Code\ACWing\795.cpp                                                  | C++          |         41 |          0 |          6 |         47 |
| d:\OI\Code\ACWing\796.cpp                                                  | C++          |         56 |          0 |          9 |         65 |
| d:\OI\Code\ACWing\797.cpp                                                  | C++          |         56 |          0 |          9 |         65 |
| d:\OI\Code\ACWing\798.cpp                                                  | C++          |         83 |          0 |         12 |         95 |
| d:\OI\Code\ACWing\799.cpp                                                  | C++          |         48 |          0 |          8 |         56 |
| d:\OI\Code\ACWing\800.cpp                                                  | C++          |         48 |          0 |          8 |         56 |
| d:\OI\Code\ACWing\801.cpp                                                  | C++          |         45 |          0 |          5 |         50 |
| d:\OI\Code\ACWing\802.cpp                                                  | C++          |         75 |          0 |         13 |         88 |
| d:\OI\Code\ACWing\803.cpp                                                  | C++          |         59 |          0 |         11 |         70 |
| d:\OI\Code\ACWing\826.cpp                                                  | C++          |         79 |          0 |         11 |         90 |
| d:\OI\Code\ACWing\830.cpp                                                  | C++          |         42 |          0 |          8 |         50 |
| d:\OI\Code\ACWing\831.cpp                                                  | C++          |         51 |          0 |          9 |         60 |
| d:\OI\Code\ACWing\835.cpp                                                  | C++          |         71 |          0 |          6 |         77 |
| d:\OI\Code\ACWing\836.cpp                                                  | C++          |         64 |          0 |         11 |         75 |
| d:\OI\Code\ACWing\837.cpp                                                  | C++          |         85 |          0 |         15 |        100 |
| d:\OI\Code\ACWing\838_a.cpp                                                | C++          |         57 |          0 |         11 |         68 |
| d:\OI\Code\ACWing\839.cpp                                                  | C++          |        102 |          4 |         11 |        117 |
| d:\OI\Code\ACWing\840.cpp                                                  | C++          |         68 |          0 |          6 |         74 |
| d:\OI\Code\ACWing\840_a.cpp                                                | C++          |         44 |          4 |          5 |         53 |
| d:\OI\Code\ACWing\840_b.cpp                                                | C++          |         41 |          0 |          7 |         48 |
| d:\OI\Code\ACWing\841.cpp                                                  | C++          |         66 |          0 |         11 |         77 |
| d:\OI\Code\ACWing\842.cpp                                                  | C++          |         41 |          0 |          7 |         48 |
| d:\OI\Code\ACWing\843.cpp                                                  | C++          |         69 |          0 |         10 |         79 |
| d:\OI\Code\ACWing\844.cpp                                                  | C++          |         74 |          0 |         15 |         89 |
| d:\OI\Code\ACWing\845.cpp                                                  | C++          |         70 |          0 |         14 |         84 |
| d:\OI\Code\ACWing\846.cpp                                                  | C++          |         71 |          0 |         13 |         84 |
| d:\OI\Code\ACWing\847.cpp                                                  | C++          |         66 |          0 |         10 |         76 |
| d:\OI\Code\ACWing\848.cpp                                                  | C++          |         86 |          0 |         13 |         99 |
| d:\OI\Code\ACWing\849.cpp                                                  | C++          |         87 |          0 |         15 |        102 |
| d:\OI\Code\ACWing\850.cpp                                                  | C++          |         91 |          0 |         15 |        106 |
| d:\OI\Code\ACWing\851.cpp                                                  | C++          |         96 |          0 |         16 |        112 |
| d:\OI\Code\ACWing\852.cpp                                                  | C++          |        114 |          0 |         17 |        131 |
| d:\OI\Code\ACWing\853.cpp                                                  | C++          |         78 |          0 |         12 |         90 |
| d:\OI\Code\ACWing\866.cpp                                                  | C++          |         52 |          0 |          7 |         59 |
| d:\OI\Code\ACWing\867.cpp                                                  | C++          |         61 |          0 |          9 |         70 |
| d:\OI\Code\ACWing\868.cpp                                                  | C++          |         52 |          0 |          7 |         59 |
| d:\OI\Code\ACWing\869.cpp                                                  | C++          |         52 |          0 |          7 |         59 |
| d:\OI\Code\ACWing\870.cpp                                                  | C++          |         54 |          0 |          9 |         63 |
| d:\OI\Code\ACWing\871.cpp                                                  | C++          |         59 |          0 |          9 |         68 |
| d:\OI\Code\ACWing\872.cpp                                                  | C++          |         38 |          0 |          6 |         44 |
